"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","selects artifact type mcp_server","ArtifactTypeSelector","Fri Sep 04 03:15:54 UTC 2026","passed","Fri Sep 04 03:15:54 UTC 2026","","","",""
"","1","omits graph_preset when no preset is selected","knowledgeBuildLaunch","Fri Sep 04 03:15:16 UTC 2026","passed","Fri Sep 04 03:15:16 UTC 2026","","","",""
"","38","lets subtitle content use the full available header width","PageHeader","Fri Sep 04 03:17:48 UTC 2026","passed","Fri Sep 04 03:17:48 UTC 2026","","","",""
"","15","shows folder input settings and toggles recursion","Inspector","Fri Sep 04 03:13:42 UTC 2026","passed","Fri Sep 04 03:13:42 UTC 2026","","","",""
"","1","single_agent has start/agent/final wired","templateManifest","Fri Sep 04 03:14:13 UTC 2026","passed","Fri Sep 04 03:14:13 UTC 2026","","","",""
"","7","turns an empty recovery timeline into in-flight guidance for active runs","workflow run panels","Fri Sep 04 03:14:31 UTC 2026","passed","Fri Sep 04 03:14:31 UTC 2026","","","",""
"","73","toggles file selection and bulk-selects the whole view","BucketTree","Fri Sep 04 03:15:22 UTC 2026","passed","Fri Sep 04 03:15:22 UTC 2026","","","",""
"","54","approve & run drives the plan to completion in-thread","AriaPlanCard","Fri Sep 04 03:16:37 UTC 2026","passed","Fri Sep 04 03:16:37 UTC 2026","","","",""
"","1","marks all lines as removed when candidate is empty","computeDiff","Fri Sep 04 03:17:02 UTC 2026","passed","Fri Sep 04 03:17:02 UTC 2026","","","",""
"","12","rejects a node without a type","NodeCodeModal","Fri Sep 04 03:17:19 UTC 2026","passed","Fri Sep 04 03:17:19 UTC 2026","","","",""
"","1","python: emits valid-looking requests code with a poll loop and Python literals","buildServiceSnippet","Fri Sep 04 03:17:15 UTC 2026","passed","Fri Sep 04 03:17:15 UTC 2026","","","",""
"","99","lists the gateway endpoints when reachable","Gateway page","Fri Sep 04 03:15:30 UTC 2026","passed","Fri Sep 04 03:15:30 UTC 2026","","","",""
"","45","surfaces a server error","WorkflowCopilot","Fri Sep 04 03:16:15 UTC 2026","passed","Fri Sep 04 03:16:15 UTC 2026","","","",""
"","572","shows the login page and signs in against the server","App shell end-to-end journeys","Fri Sep 04 03:14:15 UTC 2026","passed","Fri Sep 04 03:14:15 UTC 2026","","","",""
"","1","renders status validating with the right tone","DraftStatusBadge","Fri Sep 04 03:15:54 UTC 2026","passed","Fri Sep 04 03:15:54 UTC 2026","","","",""
"","65","warns when the proposal fails validation","WorkflowCopilot","Fri Sep 04 03:16:15 UTC 2026","passed","Fri Sep 04 03:16:15 UTC 2026","","","",""
"","30","summarises the remainder rather than overflowing the card","Cookbooks","Fri Sep 04 03:15:52 UTC 2026","passed","Fri Sep 04 03:15:53 UTC 2026","","readiness checks","",""
"","108","surfaces upload failures and lets the user dismiss the error","Object Store file manager","Fri Sep 04 03:14:22 UTC 2026","passed","Fri Sep 04 03:14:22 UTC 2026","","","",""
"","62","lets an admin delete a prompt from the card","Prompts — search","Fri Sep 04 03:14:09 UTC 2026","passed","Fri Sep 04 03:14:10 UTC 2026","","","",""
"","162","turns empty run logs into active-gate guidance for waiting runs","WorkflowDetail calibration","Fri Sep 04 03:13:14 UTC 2026","passed","Fri Sep 04 03:13:15 UTC 2026","","","",""
"","1","falls back to tool-call count (singular/plural)","describeStepChange","Fri Sep 04 03:15:01 UTC 2026","passed","Fri Sep 04 03:15:01 UTC 2026","","","",""
"","69","preserves the login generation when bootstrap validates the same account","App shell end-to-end journeys","Fri Sep 04 03:14:16 UTC 2026","passed","Fri Sep 04 03:14:16 UTC 2026","","","",""
"","128","turns an empty editor run history into draft-first guidance","WorkflowEditor page","Fri Sep 04 03:13:00 UTC 2026","passed","Fri Sep 04 03:13:01 UTC 2026","","","",""
"","470","steer enqueues a priority message","CaliberAssistantPanel — queue & steer","Fri Sep 04 03:16:23 UTC 2026","passed","Fri Sep 04 03:16:23 UTC 2026","","","",""
"","471","handles test failures and coerces invocation argument types in playground","McpServers","Fri Sep 04 03:14:33 UTC 2026","passed","Fri Sep 04 03:14:33 UTC 2026","","","",""
"","162","turns sparse active debugger step state into in-flight transition and port guidance","WorkflowDetail calibration","Fri Sep 04 03:13:15 UTC 2026","passed","Fri Sep 04 03:13:15 UTC 2026","","","",""
"","19","explains focused empty state when a selected step stopped before writing files","RunFilePanel","Fri Sep 04 03:15:20 UTC 2026","passed","Fri Sep 04 03:15:20 UTC 2026","","","",""
"","222","updates MCP tool policy from the playground","McpServers","Fri Sep 04 03:14:34 UTC 2026","passed","Fri Sep 04 03:14:34 UTC 2026","","","",""
"","60","surfaces knowledge-build diagnostics across the step map, snapshot, and event timeline","WorkflowRunDebugger","Fri Sep 04 03:14:12 UTC 2026","passed","Fri Sep 04 03:14:12 UTC 2026","","","",""
"","77","has send button disabled when input is empty","CaliberAssistantPanel","Fri Sep 04 03:14:52 UTC 2026","passed","Fri Sep 04 03:14:52 UTC 2026","","","",""
"","71","falls back to the recent run index when full-history paging is unavailable","WorkflowDetail calibration","Fri Sep 04 03:13:07 UTC 2026","passed","Fri Sep 04 03:13:07 UTC 2026","","","",""
"","35","shows agent form with tool checkboxes and fires onChangeNode","Inspector","Fri Sep 04 03:13:41 UTC 2026","passed","Fri Sep 04 03:13:41 UTC 2026","","","",""
"","153","shows registration errors when server creation fails","McpServers","Fri Sep 04 03:14:33 UTC 2026","passed","Fri Sep 04 03:14:33 UTC 2026","","","",""
"","367","generates, runs, scores, saves, and removes prompt test cases","Prompts advanced test-case generation flows","Fri Sep 04 03:14:28 UTC 2026","passed","Fri Sep 04 03:14:28 UTC 2026","","","",""
"","41","never renders a secret value, because the API never returns one","Administration","Fri Sep 04 03:15:38 UTC 2026","passed","Fri Sep 04 03:15:38 UTC 2026","","","",""
"","39","renders recent job activity as informational rows","Dashboard","Fri Sep 04 03:16:34 UTC 2026","passed","Fri Sep 04 03:16:34 UTC 2026","","","",""
"","263","turns historical-version editor monitor notes into completed-run comparison guidance","WorkflowEditor page","Fri Sep 04 03:13:01 UTC 2026","passed","Fri Sep 04 03:13:01 UTC 2026","","","",""
"","537","narrows the server table with search, status, and transport filters","McpServers","Fri Sep 04 03:14:32 UTC 2026","passed","Fri Sep 04 03:14:33 UTC 2026","","","",""
"","93","requires a reason before confirming when requireReason is set","ConfirmDialog","Fri Sep 04 03:17:33 UTC 2026","passed","Fri Sep 04 03:17:33 UTC 2026","","","",""
"","5","renders with placeholder","Input","Fri Sep 04 03:17:32 UTC 2026","passed","Fri Sep 04 03:17:32 UTC 2026","","","",""
"","476","tags the saved prompt with a custom goal and multiple methods","Prompts","Fri Sep 04 03:14:02 UTC 2026","passed","Fri Sep 04 03:14:03 UTC 2026","","","",""
"","7","disables when disabled prop is set","Button","Fri Sep 04 03:17:32 UTC 2026","passed","Fri Sep 04 03:17:32 UTC 2026","","","",""
